note_idx,true,pred,title,content,image_path,content_length
30599,fashion_beauty,knowledge_tutorial,🐟美妆来自火星的软妹,"更新：【号已经正常很久啦】
来自火星的软妹，被🐟关了小黑屋7天[哭惹R][哭惹R][哭惹R]姐妹们不要害怕，天地良心对天发誓我出的都是真的[哭惹R]朋友说是因为我出的便宜了",image/part_116/1162774/5203461.jpg,85
482,food_travel,knowledge_tutorial,大早上起来看到这一幕，吓我一跳,"早上起来说给小黑倒一下粑粑
然后把椅子抬起来
发现小黑侧躺着，闭着眼睛…
当时把我吓一跳…我还以为小黑咋了…！
这还是第一次看到小黑这样
我轻轻叫了几声小黑
没搭理我
后来我坐在地上静静观察
发现小黑",image/part_115/1159213/5186778.jpg,240
21575,knowledge_tutorial,food_travel,"油焖虾本身并不能直接减脂。
 
油焖虾一般需","油焖虾本身并不能直接减脂。
 
油焖虾一般需要用较多的油来制作，油的热量较高。虽然虾是一种营养丰富且相对低脂肪、高蛋白的食物，但如果整体菜肴中油脂含量过高，大量食用可能会导致摄入的总热量增加，并不利于",image/part_116/1168813/5231930.jpg,198
1954306,food_travel,fashion_beauty,沪上阿姨 | 羽衣甘蓝纤体瓶 不是鲜榨的？,个人觉得蛮好喝的  但是又是成功预制的一天！#羽衣甘蓝[话题]# #好喝的饮品[话题]##沪上阿姨[话题]# #沪上阿姨新品[话题]# ,image/part_113/1135300/5079228.jpg,63
138,fashion_beauty,knowledge_tutorial,家里真的有必要备一台立式挂烫机吗？,"答案是：当然有必要啦，立式挂烫机真的很香！	
大熨板、大水箱、大功率，熨衣体验感真的超好，华光66X的熨斗样式把手是有专利的哦，镂空把手设计熨衣不会发热~~像这样贴心的设计还有很多，等待你来发现哦！！",image/part_116/1163052/5204742.jpg,146
13988,fashion_beauty,food_travel,这玩意要148过分吗,5寸的巴斯克生日蛋糕，装饰是巧克力，和一些简陋的搭配，不问不知道，一问我老婆才知道居然要148！是我太穷了还是还没有钱到这个级别，应该是我孤陋寡闻了吧[黑薯问号R][黑薯问号R],image/part_115/1159250/5186941.jpg,89
1957571,knowledge_tutorial,fashion_beauty,大白罐真的很好用！,"上班天天蹭丝塔芙湿润保湿霜
擦完又白又水润 无香 没有味道 感觉很舒服！
也不会冒油
#每日分享[话题]# #丝塔芙大白罐[话题]# #屈臣氏好物推荐[话题]# ",image/part_113/1139026/5094302.jpg,72
26259,food_travel,knowledge_tutorial,九阳破壁机测评有人看吗,"d520  PK  d561
	
官网上价格d520＞d561
但各种专卖店价格d561＞d520
个人猜想d561才是王炸，但因为出于颜值买了d520已经发货，故又买了d561，顺便做个测试。
	
",image/part_114/1141690/5106059.jpg,207
27630,fashion_beauty,knowledge_tutorial, 70元的华为半入耳式耳机，超长续航40小时,有阵子没写耳机了，今天写个双十一我买的耳机——华为FreeBuds SE2。当时买它没别的原因，纯属便宜，某宝标价300元（太鸡贼了，官方价才199），7号领券后实付75元，加上晒单返现5元，实际只要,image/part_116/1166655/5221672.jpg,738
23566,food_travel,knowledge_tutorial,福田口岸的自助续签机不在口岸，在这里,找到位置后进门左转的蓝色机器就能自助续签，外省办理的港澳通行证也能续签,image/part_114/1142481/5109724.jpg,35
1963550,knowledge_tutorial,fashion_beauty,奉劝大家还是少用点素颜霜吧。。,"本人黄黑皮，之前买的素颜霜假白的要死，还黏黏糊糊的用了一段时间脸上就开始长痘。现在想重新买一个，你们有没有好用一直在用的素颜霜求推荐！！不要广！！！
#素颜霜[话题]# #分享爱用物[话题]# #化妆",image/part_113/1134328/5075134.jpg,142
4015,fashion_beauty,knowledge_tutorial,富轩799摆下擂台，选购真正好门窗不迷路！,"[一R]挑战关卡 NO1：型材壁厚
型材壁厚更厚，抗风压性能更强
富轩青龙 WS6 外开防晒窗
型材壁厚2.0mm超过新国标
更牢固耐磨，无惧超强台风 
[赞R][赞R][赞R]
[二R]挑战关卡 N",image/part_114/1143324/5113434.jpg,738
